Plan_mes;mes;nro_cliente
94366;1;500
95982;1;503
96262;1;504
93720;1;505
96327;1;506
96308;1;509
95982;1;508
96007;1;507
96121;1;511
94562;1;510
94410;1;513
96327;1;512
94458;1;516
95599;1;514
95982;1;515
96332;1;517
96234;1;518
95683;1;520
94497;1;521
93845;1;519
96413;1;522
96121;1;524
96385;1;525
93631;1;527
94402;1;523
95729;1;526
94497;1;528
96078;1;529
95419;1;531
96400;1;530
96022;1;532
95982;1;533
95570;1;534
95400;1;535
95408;1;536
96410;1;537
94497;1;538
95729;1;541
96409;1;540
96409;1;539
93561;1;542
95729;1;545
96018;1;544
96133;1;546
96440;1;543
96234;1;547
95419;1;549
95599;1;548
96119;1;551
96411;1;550
95599;1;552
93561;1;553
95599;1;555
96038;1;556
96133;1;557
96133;1;554
96400;1;558
95599;1;560
96413;1;559
95471;1;561
96262;1;563
96390;1;564
96409;1;569
96262;1;562
93631;1;568
96208;1;566
95611;1;565
93618;1;573
96007;1;571
96385;1;572
96385;1;570
96038;1;575
95456;1;567
95595;1;574
96022;1;577
96385;1;578
96262;1;581
95712;1;576
95599;1;582
95400;1;583
96385;1;580
93618;1;584
93561;1;579
95744;1;586
96234;1;585
94562;1;588
96385;1;587
96409;1;589
95729;1;590
95645;1;591
95400;1;592
96409;1;593
96054;1;595
96385;1;594
96208;1;597
96409;1;596
96411;1;598
96133;1;601
95599;1;602
94041;1;599
96121;1;600
96119;1;603
96133;1;605
93618;1;604
95599;1;606
96385;1;607
96262;1;608
96308;1;610
93561;1;611
96385;1;612
96092;1;609
93521;1;614
96413;1;613
96234;1;615
95982;1;616
96440;1;618
95471;1;617
93561;1;619
95595;1;620
96234;1;621
94458;1;622
95419;1;624
96234;1;626
95645;1;623
96038;1;625
96262;1;627
94485;1;628
95645;1;631
96400;1;630
95456;1;629
96409;1;633
95420;1;632
95729;1;634
96409;1;635
95420;1;637
96133;1;639
96409;1;638
96133;1;640
96262;1;636
96262;1;642
96078;1;644
95712;1;643
96234;1;645
96038;1;641
96385;1;646
96327;1;649
96018;1;647
96234;1;648
95729;1;651
93537;1;650
96208;1;652
93720;1;653
96308;1;654
95729;1;655
96234;1;656
96234;1;657
96262;1;661
95982;1;658
95400;1;664
95982;1;659
95982;1;660
96308;1;663
95712;1;667
96409;1;662
96121;1;665
93618;1;668
94410;1;666
96234;1;670
93521;1;669
95729;1;671
94463;1;673
96038;1;672
95729;1;674
93720;1;675
96234;1;676
96133;1;680
96411;1;679
93521;1;677
96133;1;681
95595;1;678
96007;1;683
93561;1;682
94497;1;684
96038;1;685
96043;1;686
96262;1;688
95982;1;690
93561;1;687
96133;1;689
96385;1;691
95596;1;692
96038;1;693
96119;1;695
96038;1;694
96400;1;696
96385;1;697
93947;1;699
96327;1;698
94465;1;701
94497;1;700
96385;1;703
96121;1;702
96078;1;704
96327;1;705
95982;1;706
96409;1;708
96208;1;707
96078;1;710
96308;1;709
96385;1;711
96262;1;712
96311;1;715
95982;1;713
93720;1;714
96133;1;717
96007;1;716
93720;1;718
96308;1;721
96234;1;719
96119;1;722
96262;1;720
93618;1;723
95599;1;725
95683;1;724
96410;1;726
93720;1;728
96208;1;727
96133;1;729
96078;1;730
96121;1;731
95982;1;732
96121;1;734
95599;1;733
93720;1;736
95595;1;738
94569;1;735
96234;1;737
96262;1;739
93618;1;740
96327;1;741
93561;1;744
96409;1;742
96332;1;743
95595;1;746
93845;1;745
96007;1;747
96133;1;749
96327;1;748
95456;1;750
96409;1;751
96308;1;753
95645;1;752
96385;1;754
96054;1;757
96234;1;756
95645;1;755
96234;1;758
95326;1;759
96413;1;761
96208;1;760
96385;1;762
96022;1;763
93631;1;766
96327;1;764
93561;1;765
95400;1;769
95599;1;767
96092;1;768
95420;1;772
94459;1;770
95599;1;771
95599;1;773
93618;1;774
93521;1;778
96078;1;777
95670;1;775
96400;1;776
93521;1;779
96409;1;783
96022;1;782
95982;1;780
96400;1;781
96385;1;784
96078;1;785
96262;1;789
95729;1;787
95729;1;788
95599;1;786
96018;1;791
96327;1;790
96133;1;793
93561;1;792
96018;1;794
96262;1;795
96262;1;796
95729;1;797
96327;1;798
96385;1;799
96208;1;801
96133;1;800
96385;1;803
96308;1;804
95599;1;806
96332;1;805
93631;1;802
94906;1;807
95645;1;810
95595;1;809
94465;1;808
95471;1;811
93720;1;813
96133;1;814
96327;1;812
95645;1;815
96327;1;816
96208;1;817
94463;1;819
96121;1;820
95982;1;818
96119;1;821
96018;1;822
96332;1;824
93521;1;823
93618;1;826
96413;1;827
95982;1;828
95471;1;825
95982;1;830
96234;1;829
95645;1;831
95599;1;832
96262;1;835
95982;1;838
94378;1;833
95599;1;836
96262;1;837
96038;1;834
94497;1;841
96413;1;840
96121;1;839
95683;1;843
93521;1;842
94485;1;844
93720;1;846
96410;1;845
96208;1;849
95982;1;847
96234;1;848
96410;1;850
93720;1;852
96078;1;851
95982;1;856
96018;1;853
95456;1;860
96385;1;857
94041;1;861
96054;1;863
96078;1;854
94459;1;855
96409;1;859
96133;1;858
95420;1;864
96400;1;862
94690;1;865
96018;1;866
96133;1;867
93720;1;868
95599;1;869
96262;1;871
93720;1;870
96409;1;872
95570;1;874
96262;1;873
96327;1;876
93845;1;879
96440;1;875
95456;1;878
93618;1;877
96262;1;882
95645;1;883
96262;1;880
96262;1;881
96078;1;884
94410;1;886
96385;1;885
93618;1;887
94468;1;888
96385;1;890
95645;1;889
96078;1;891
95595;1;892
96327;1;894
96400;1;893
95456;1;895
96092;1;896
94468;1;897
93618;1;899
96262;1;902
95400;1;898
96409;1;900
96411;1;901
95599;1;903
93413;1;904
96332;1;906
95784;1;907
96385;1;905
96327;1;908
96385;1;909
96133;1;912
96133;1;910
96308;1;911
95982;1;913
96308;1;914
96078;1;915
96262;1;916
95712;1;918
95982;1;917
95982;1;919
93537;1;921
95744;1;923
95570;1;920
94463;1;922
96133;1;924
95712;1;925
96133;1;926
95400;1;931
96327;1;930
96411;1;927
96385;1;928
96133;1;933
96385;1;932
95982;1;929
95645;1;934
96327;1;935
94463;1;936
96121;1;937
95982;1;938
93618;1;941
96234;1;939
95645;1;940
96308;1;944
93720;1;943
96409;1;945
95645;1;946
96121;1;942
95400;1;947
96119;1;948
96385;1;949
96385;1;951
96327;1;950
96133;1;952
95982;1;955
96409;1;953
93521;1;954
96262;1;956
95712;1;957
96327;1;959
96327;1;958
96327;1;963
96234;1;964
95599;1;960
96400;1;961
96133;1;965
96327;1;966
96262;1;962
96022;1;967
94463;1;968
95570;1;969
93618;1;971
96022;1;972
96092;1;970
96133;1;973
96262;1;976
96327;1;974
96440;1;975
96409;1;977
96409;1;978
95982;1;979
95712;1;980
95982;1;982
96078;1;981
96092;1;983
96410;1;986
95729;1;984
96078;1;985
96327;1;987
95982;1;988
96133;1;990
96133;1;992
94623;1;989
96262;1;991
96262;1;993
95456;1;994
96092;1;995
93720;1;998
96121;1;997
96078;1;1000
95712;1;996
96409;1;999
93739;1;1002
96385;1;1004
96409;1;1001
95596;1;1003
95982;1;1005
95599;1;1006
96234;1;1007
96133;1;1009
95400;1;1012
96400;1;1008
96385;1;1011
96262;1;1010
94463;1;1013
95982;1;1014
96133;1;1017
96345;1;1016
94569;1;1015
96078;1;1018
95596;1;1020
95040;1;1019
96409;1;1021
93521;1;1023
96119;1;1025
93561;1;1024
95599;1;1022
96409;1;1026
96327;1;1028
96332;1;1027
96262;1;1029
96208;1;1030
96308;1;1031
96327;1;1032
96400;1;1033
96133;1;1035
93845;1;1036
93561;1;1038
94485;1;1034
94497;1;1037
96409;1;1040
96234;1;1039
96133;1;1041
96121;1;1042
94485;1;1043
95982;1;1044
96119;1;1045
96385;1;1047
96440;1;1046
95326;1;1048
93413;1;1049
96234;1;1050
96121;1;1052
96262;1;1051
96385;1;1053
96018;1;1054
96018;1;1055
96409;1;1056
96262;1;1057
96133;1;1059
96308;1;1060
93521;1;1058
96038;1;1061
95645;1;1062
96121;1;1064
96400;1;1063
93521;1;1065
95645;1;1066
96327;1;1067
96385;1;1068
95982;1;1069
96133;1;1070
93720;1;1071
96018;1;1073
95982;1;1072
93618;1;1074
95456;1;1076
93618;1;1077
96262;1;1075
95599;1;1079
95645;1;1078
95982;1;1080
95982;1;1083
96409;1;1084
94410;1;1081
93618;1;1087
93561;1;1085
96208;1;1086
95595;1;1082
96092;1;1090
95729;1;1088
96133;1;1089
96410;1;1091
95595;1;1092
95400;1;1098
93561;1;1097
96078;1;1095
96409;1;1093
96119;1;1094
96262;1;1099
96385;1;1100
93561;1;1096
96385;1;1102
96234;1;1101
96413;1;1103
93739;1;1104
94497;1;1105
96133;1;1107
96385;1;1106
94041;1;1108
93521;1;1109
93720;1;1113
95982;1;1112
96409;1;1110
96400;1;1111
95599;1;1114
95982;1;1115
93720;1;1116
96409;1;1117
96385;1;1119
95645;1;1120
95456;1;1121
95570;1;1118
96262;1;1123
95729;1;1122
95670;1;1124
96054;1;1125
96409;1;1126
96018;1;1127
96078;1;1128
95982;1;1129
94410;1;1130
95712;1;1131
96234;1;1132
96208;1;1136
96234;1;1133
96119;1;1134
96385;1;1140
96133;1;1141
93720;1;1135
96234;1;1138
96413;1;1139
94041;1;1143
96409;1;1142
95422;1;1137
93521;1;1144
95400;1;1147
95599;1;1145
95982;1;1146
96234;1;1148
96234;1;1149
95784;1;1150
93521;1;1154
93618;1;1151
96133;1;1152
95982;1;1153
95645;1;1156
96409;1;1155
96385;1;1159
95729;1;1158
94366;1;1157
95712;1;1160
95419;1;1161
95570;1;1163
96411;1;1162
96385;1;1164
95471;1;1166
96133;1;1167
96007;1;1165
96409;1;1168
96133;1;1169
95570;1;1170
96385;1;1173
95982;1;1171
95599;1;1174
95729;1;1172
96327;1;1176
96119;1;1175
96327;1;1177
95599;1;1178
95599;1;1179
96188;1;1180
95729;1;1182
94410;1;1181
96133;1;1183
95599;1;1186
95400;1;1185
96119;1;1184
96133;1;1187
96119;1;1190
96018;1;1189
96038;1;1188
96208;1;1191
96262;1;1193
96385;1;1192
96234;1;1194
96022;1;1195
96119;1;1196
95982;1;1197
96078;1;1199
96022;1;1198
96018;1;1200
96133;1;1201
96385;1;1202
96119;1;1203
96409;1;1207
96327;1;1206
96409;1;1204
95712;1;1208
96385;1;1205
96332;1;1209
96133;1;1211
96327;1;1210
95982;1;1212
96018;1;1216
96385;1;1214
95982;1;1213
94402;1;1215
95982;1;1217
96133;1;1221
96119;1;1218
96234;1;1222
93521;1;1224
94562;1;1220
96121;1;1223
95982;1;1219
93561;1;1226
96327;1;1225
96018;1;1228
96078;1;1229
93720;1;1227
94458;1;1230
96262;1;1231
96133;1;1233
96440;1;1232
95982;1;1234
96133;1;1237
96262;1;1238
93561;1;1236
96133;1;1235
96327;1;1239
96208;1;1242
95645;1;1241
96411;1;1240
95599;1;1243
94497;1;1244
96327;1;1245
93618;1;1246
95712;1;1248
94410;1;1247
96133;1;1249
93720;1;1250
96078;1;1251
96409;1;1252
94402;1;1253
96327;1;1256
96164;1;1254
95683;1;1255
96262;1;1258
93618;1;1257
96411;1;1259
96385;1;1262
96308;1;1263
96133;1;1260
96007;1;1261
96400;1;1265
96385;1;1266
96327;1;1269
96327;1;1267
96092;1;1264
95982;1;1268
96018;1;1271
95982;1;1270
94497;1;1273
96078;1;1274
93521;1;1272
96262;1;1275
96400;1;1277
95982;1;1276
94410;1;1278
95712;1;1279
96262;1;1281
95420;1;1282
93618;1;1283
96411;1;1284
96385;1;1280
96327;1;1285
96262;1;1288
96308;1;1286
95348;1;1291
93561;1;1289
95982;1;1290
96411;1;1287
96119;1;1292
95595;1;1293
96208;1;1294
96409;1;1295
96385;1;1298
95595;1;1296
94485;1;1301
95729;1;1299
95670;1;1300
95400;1;1297
93521;1;1302
96385;1;1303
93561;1;1304
96133;1;1305
93618;1;1306
96409;1;1307
96262;1;1309
96092;1;1308
96385;1;1312
94463;1;1310
96400;1;1311
95599;1;1314
96262;1;1313
96332;1;1321
96078;1;1318
94497;1;1317
93618;1;1320
96018;1;1319
96078;1;1315
96400;1;1316
93618;1;1324
96121;1;1323
94402;1;1322
96119;1;1326
96234;1;1330
96385;1;1327
95982;1;1328
95982;1;1325
96308;1;1329
96234;1;1332
93845;1;1331
94458;1;1333
95670;1;1334
96409;1;1335
96078;1;1337
96411;1;1336
96133;1;1338
95982;1;1340
96327;1;1339
95645;1;1342
96078;1;1343
95982;1;1345
95729;1;1341
95408;1;1344
96400;1;1346
96133;1;1347
93561;1;1348
96007;1;1352
96133;1;1353
96332;1;1349
96007;1;1350
96327;1;1351
95599;1;1354
95599;1;1357
96262;1;1356
95595;1;1355
96327;1;1358
96133;1;1359
95599;1;1361
96133;1;1360
93618;1;1362
95420;1;1363
95982;1;1365
96327;1;1364
95040;1;1366
96121;1;1367
96234;1;1368
96007;1;1369
96133;1;1373
95712;1;1371
95419;1;1370
95570;1;1372
95982;1;1374
96092;1;1375
95729;1;1376
96007;1;1378
96133;1;1377
96262;1;1379
93720;1;1380
96234;1;1381
95599;1;1383
96308;1;1382
94402;1;1385
96092;1;1387
96133;1;1386
96078;1;1384
96133;1;1388
93720;1;1389
96133;1;1391
96385;1;1390
96410;1;1394
96327;1;1393
93521;1;1392
96332;1;1395
96054;1;1397
95570;1;1396
95982;1;1398
96022;1;1400
96133;1;1399
96121;1;1401
96078;1;1404
96133;1;1403
95982;1;1406
96038;1;1405
95982;1;1402
96133;1;1407
96262;1;1408
94468;1;1410
96119;1;1411
96262;1;1413
96409;1;1409
93561;1;1412
94458;1;1416
95670;1;1414
96092;1;1415
95599;1;1417
96043;1;1418
93521;1;1419
95729;1;1420
96400;1;1422
96440;1;1421
96234;1;1423
96409;1;1425
96327;1;1426
95982;1;1424
94497;1;1428
95982;1;1427
96018;1;1429
95645;1;1431
93631;1;1432
96208;1;1433
93618;1;1435
95645;1;1430
96018;1;1434
95729;1;1437
93720;1;1436
94402;1;1438
93521;1;1439
94485;1;1443
96327;1;1441
96327;1;1440
96413;1;1444
96409;1;1442
96188;1;1446
96018;1;1448
96133;1;1447
94465;1;1445
94465;1;1450
96400;1;1449
96327;1;1452
95982;1;1453
96234;1;1451
93618;1;1455
96133;1;1456
93561;1;1454
96385;1;1457
95982;1;1458
95599;1;1459
96308;1;1460
96327;1;1461
93561;1;1462
93618;1;1464
95456;1;1465
96018;1;1463
96308;1;1466
95982;1;1467
95419;1;1468
96133;1;1470
96385;1;1471
94497;1;1469
95982;1;1472
96234;1;1474
96327;1;1473
93720;1;1475
95400;1;1476
96018;1;1480
96133;1;1477
96078;1;1478
95729;1;1479
96385;1;1481
96262;1;1484
96262;1;1483
95982;1;1482
95596;1;1487
95645;1;1486
96413;1;1485
96208;1;1490
96409;1;1488
96018;1;1489
96410;1;1492
96262;1;1491
94478;1;1493
95744;1;1496
96234;1;1497
96133;1;1494
95456;1;1495
96234;1;1499
93720;1;1498
94402;1;1500
96385;1;1503
96327;1;1502
96400;1;1501
93618;1;1504
96133;1;1505
93618;1;1507
93618;1;1506
95982;1;1508
95982;1;1509
96308;1;1510
96133;1;1511
96440;1;1513
96385;1;1512
95982;1;1514
95596;1;1515
96385;1;1517
96262;1;1516
95982;1;1519
96409;1;1518
95595;1;1520
95729;1;1524
96262;1;1521
96234;1;1523
95982;1;1522
96092;1;1525
96119;1;1528
96133;1;1529
96092;1;1526
96400;1;1527
96327;1;1530
96400;1;1531
96121;1;1532
94402;1;1533
96400;1;1534
96133;1;1535
95712;1;1536
96234;1;1538
96410;1;1537
96234;1;1539
96234;1;1540
93618;1;1541
93537;1;1542
95611;1;1543
96133;1;1545
96327;1;1546
96409;1;1547
96038;1;1544
93618;1;1548
96119;1;1549
93521;1;1550
96308;1;1552
96409;1;1551
96133;1;1553
96385;1;1554
94468;1;1556
95729;1;1555
96385;1;1557
96440;1;1559
96007;1;1558
95729;1;1560
96133;1;1562
96327;1;1563
95729;1;1561
96018;1;1564
94410;1;1565
96121;1;1567
96121;1;1566
93618;1;1569
95982;1;1568
95645;1;1570
94497;1;1571
96133;1;1572
96133;1;1573
96038;1;1574
95712;1;1576
96413;1;1575
96262;1;1577
96133;1;1578
96413;1;1579
96133;1;1583
96410;1;1584
96022;1;1585
96133;1;1582
96420;1;1580
96308;1;1581
96188;1;1586
95645;1;1589
96413;1;1588
96078;1;1592
96409;1;1590
95982;1;1591
96385;1;1587
96409;1;1593
96121;1;1595
96018;1;1594
96133;1;1597
94402;1;1596
96198;1;1598
96327;1;1599
94463;1;1600
95982;1;1601
96121;1;1602
96133;1;1603
95729;1;1606
96092;1;1605
96400;1;1604
93561;1;1607
95419;1;1608
96327;1;1609
96262;1;1610
96133;1;1611
95570;1;1612
95599;1;1613
94463;1;1614
95645;1;1618
96409;1;1616
96308;1;1615
96400;1;1617
96420;1;1619
96133;1;1620
96007;1;1621
96385;1;1627
96133;1;1625
96018;1;1626
96121;1;1622
95982;1;1623
93561;1;1624
96018;1;1630
93845;1;1628
96409;1;1629
95729;1;1631
95982;1;1632
95456;1;1633
96133;1;1635
95729;1;1634
95712;1;1639
93521;1;1637
96327;1;1636
95471;1;1638
96262;1;1641
93618;1;1640
95982;1;1642
93521;1;1645
96007;1;1644
94402;1;1646
96385;1;1648
96018;1;1649
96022;1;1651
95744;1;1650
95422;1;1652
96119;1;1643
96133;1;1647
96121;1;1653
96262;1;1654
96208;1;1655
96038;1;1656
93561;1;1658
96385;1;1657
96400;1;1659
96327;1;1660
96007;1;1661
95982;1;1662
96400;1;1663
96308;1;1664
96234;1;1665
96092;1;1667
96119;1;1668
94515;1;1669
95729;1;1670
94463;1;1666
96133;1;1671
96007;1;1672
96308;1;1673
96385;1;1674
96411;1;1676
96043;1;1677
96119;1;1675
96327;1;1679
94463;1;1678
93521;1;1680
95729;1;1682
95611;1;1681
96308;1;1683
96390;1;1684
95729;1;1686
96327;1;1685
96133;1;1687
95645;1;1689
96054;1;1688
95670;1;1692
95982;1;1690
96411;1;1691
96054;1;1695
96234;1;1693
96092;1;1694
96327;1;1696
93561;1;1698
95456;1;1697
94463;1;1699
96262;1;1700
95982;1;1701
96411;1;1702
96133;1;1703
93631;1;1704
96133;1;1705
96133;1;1706
96018;1;1707
93618;1;1708
93618;1;1709
96409;1;1710
95400;1;1711
96345;1;1713
96327;1;1714
94402;1;1712
96409;1;1715
96411;1;1716
96262;1;1717
93845;1;1719
93618;1;1721
96400;1;1720
96385;1;1718
96409;1;1722
93720;1;1723
95982;1;1726
95645;1;1724
93845;1;1725
95645;1;1727
96385;1;1728
96092;1;1729
95733;1;1731
93720;1;1730
96410;1;1732
96385;1;1734
95982;1;1733
96234;1;1735
96133;1;1736
94468;1;1737
96078;1;1739
96054;1;1741
96409;1;1742
94463;1;1740
96078;1;1738
94485;1;1743
96018;1;1747
93521;1;1746
94410;1;1745
96133;1;1750
95733;1;1748
95400;1;1749
96409;1;1751
94402;1;1744
95683;1;1753
96385;1;1752
96133;1;1756
95982;1;1754
94402;1;1757
96092;1;1755
96409;1;1758
96385;1;1759
95645;1;1760
96327;1;1761
96385;1;1762
96208;1;1764
96385;1;1763
96385;1;1765
96409;1;1766
93537;1;1767
96409;1;1769
94463;1;1768
96413;1;1770
95729;1;1772
96007;1;1771
96234;1;1773
93618;1;1775
96038;1;1774
95712;1;1776
96234;1;1778
96133;1;1780
96234;1;1777
95982;1;1779
96018;1;1781
96133;1;1785
93618;1;1784
95408;1;1783
96133;1;1782
96327;1;1788
96022;1;1787
93608;1;1786
95982;1;1791
93561;1;1790
96054;1;1793
94485;1;1794
95419;1;1795
95784;1;1789
96018;1;1792
96234;1;1796
96038;1;1797
96133;1;1799
96332;1;1798
95683;1;1801
95599;1;1802
95471;1;1800
96327;1;1803
96440;1;1804
94410;1;1805
96409;1;1806
96038;1;1808
96440;1;1807
96054;1;1810
96385;1;1809
95570;1;1812
96409;1;1811
96409;1;1813
96385;1;1814
95350;1;1816
96385;1;1817
96038;1;1815
96385;1;1819
95645;1;1821
95982;1;1820
96440;1;1818
95712;1;1822
96308;1;1823
96133;1;1824
96133;1;1825
93618;1;1828
96133;1;1827
96409;1;1826
96262;1;1830
96413;1;1829
95982;1;1832
96133;1;1833
94465;1;1831
95712;1;1835
96234;1;1834
96409;1;1837
96385;1;1841
93561;1;1836
95420;1;1838
96092;1;1839
96332;1;1842
96133;1;1840
96413;1;1843
96092;1;1844
96385;1;1845
96119;1;1847
96208;1;1846
95982;1;1848
95982;1;1850
96133;1;1849
96208;1;1851
95982;1;1852
96327;1;1854
96234;1;1853
96400;1;1855
96007;1;1858
96121;1;1859
95670;1;1860
94463;1;1857
95729;1;1856
94402;1;1861
96038;1;1862
96308;1;1863
94623;1;1864
94515;1;1867
95982;1;1865
96327;1;1866
95599;1;1868
