Cantidad_Llamadas;Duracion_Llamadas_minutos;nro_cliente;mes;tipo_llamada
2;145;5505;1;Saliente
2;328;5522;1;Saliente
1;30;5522;1;Saliente
2;60;5529;1;Saliente
2;60;5532;1;Saliente
1;30;5533;1;Saliente
2;79;5533;1;Saliente
1;30;5533;1;Saliente
5;150;5538;1;Saliente
3;174;5538;1;Saliente
1;193;5541;1;Saliente
1;30;5561;1;Saliente
1;72;5598;1;Saliente
2;472;5598;1;Saliente
2;100;5601;1;Saliente
1;95;5643;1;Saliente
1;38;5668;1;Saliente
2;133;5674;1;Saliente
1;177;5674;1;Saliente
1;1200;5674;1;Saliente
1;56;5682;1;Saliente
1;30;5682;1;Saliente
2;71;5682;1;Saliente
1;139;5684;1;Saliente
2;301;5684;1;Saliente
1;32;5684;1;Saliente
4;544;5687;1;Saliente
7;252;5687;1;Saliente
2;112;5687;1;Saliente
1;319;5687;1;Saliente
1;118;5687;1;Saliente
2;60;5690;1;Saliente
2;238;5706;1;Saliente
1;30;5816;1;Saliente
2;128;5817;1;Saliente
8;846;5817;1;Saliente
5;150;5817;1;Saliente
3;150;5817;1;Saliente
47;3077;5817;1;Saliente
14;1499;5817;1;Saliente
1;126;5817;1;Saliente
1;116;5817;1;Saliente
1;30;5819;1;Saliente
1;489;5820;1;Saliente
2;60;5820;1;Saliente
1;1200;5820;1;Saliente
1;234;5854;1;Saliente
3;100;5862;1;Saliente
2;287;5863;1;Saliente
4;158;5870;1;Saliente
1;246;5870;1;Saliente
1;168;5870;1;Saliente
2;135;5880;1;Saliente
1;30;5920;1;Saliente
1;730;5949;1;Saliente
1;30;5969;1;Saliente
1;30;5980;1;Saliente
1;56;5982;1;Saliente
1;72;5986;1;Saliente
1;30;5991;1;Saliente
1;341;6000;1;Saliente
1;180;6000;1;Saliente
1;30;6009;1;Saliente
1;43;6014;1;Saliente
3;1468;6014;1;Saliente
1;599;6014;1;Saliente
1;32;6031;1;Saliente
11;357;6031;1;Saliente
2;60;6031;1;Saliente
1;30;6039;1;Saliente
1;30;6042;1;Saliente
2;60;6044;1;Saliente
1;122;6062;1;Saliente
1;30;6062;1;Saliente
7;1571;6088;1;Saliente
1;309;6088;1;Saliente
1;142;6099;1;Saliente
1;591;6099;1;Saliente
1;30;6107;1;Saliente
1;30;6122;1;Saliente
1;30;6138;1;Saliente
5;150;6138;1;Saliente
1;30;6138;1;Saliente
9;278;6142;1;Saliente
1;30;6142;1;Saliente
1;31;6142;1;Saliente
2;95;6142;1;Saliente
2;60;6148;1;Saliente
1;43;6166;1;Saliente
2;283;6166;1;Saliente
1;30;6174;1;Saliente
1;30;6211;1;Saliente
1;30;6211;1;Saliente
6;898;6211;1;Saliente
1;30;6218;1;Saliente
1;31;6218;1;Saliente
1;250;6246;1;Saliente
1;555;6262;1;Saliente
4;120;6275;1;Saliente
1;267;6290;1;Saliente
1;953;6299;1;Saliente
1;180;6326;1;Saliente
1;30;6365;1;Saliente
3;944;6408;1;Saliente
1;182;6408;1;Saliente
1;30;6412;1;Saliente
1;30;6413;1;Saliente
5;180;6420;1;Saliente
1;30;6420;1;Saliente
1;30;6420;1;Saliente
1;39;6420;1;Saliente
4;308;6438;1;Saliente
2;60;6450;1;Saliente
2;121;6450;1;Saliente
33;14143;6456;1;Saliente
2;111;6465;1;Saliente
1;202;6471;1;Saliente
2;60;6488;1;Saliente
3;1182;6498;1;Saliente
1;30;6498;1;Saliente
15;5520;6498;1;Saliente
5;230;6498;1;Saliente
2;1549;6498;1;Saliente
3;90;6506;1;Saliente
1;71;6511;1;Saliente
1;55;6514;1;Saliente
1;89;6528;1;Saliente
1;37;6528;1;Saliente
1;118;6548;1;Saliente
3;924;6558;1;Saliente
2;338;6558;1;Saliente
1;963;6558;1;Saliente
1;30;6567;1;Saliente
3;157;6567;1;Saliente
1;285;6590;1;Saliente
1;381;6591;1;Saliente
1;30;6595;1;Saliente
1;90;6595;1;Saliente
1;30;6614;1;Saliente
8;568;6616;1;Saliente
1;40;6618;1;Saliente
1;30;6624;1;Saliente
1;30;6624;1;Saliente
1;102;6624;1;Saliente
1;451;6624;1;Saliente
10;309;6647;1;Saliente
1;30;6667;1;Saliente
1;30;6672;1;Saliente
10;1702;6680;1;Saliente
1;30;6680;1;Saliente
1;1200;6680;1;Saliente
1;422;6680;1;Saliente
2;109;6692;1;Saliente
1;1098;6712;1;Saliente
1;296;6715;1;Saliente
1;56;6743;1;Saliente
1;30;6749;1;Saliente
1;78;6761;1;Saliente
1;50;6783;1;Saliente
2;363;6783;1;Saliente
1;208;6794;1;Saliente
3;572;6794;1;Saliente
2;1487;6796;1;Saliente
1;78;6801;1;Saliente
6;188;6801;1;Saliente
2;60;6801;1;Saliente
2;598;6841;1;Saliente
1;45;6850;1;Saliente
1;30;6850;1;Saliente
1;30;6852;1;Saliente
2;62;6873;1;Saliente
2;60;6873;1;Saliente
3;138;6873;1;Saliente
1;109;6873;1;Saliente
2;1032;6876;1;Saliente
1;1200;6876;1;Saliente
3;90;6882;1;Saliente
1;53;6897;1;Saliente
1;30;6897;1;Saliente
1;104;6901;1;Saliente
2;131;6908;1;Saliente
2;225;6915;1;Saliente
1;30;6927;1;Saliente
12;568;6927;1;Saliente
1;30;6927;1;Saliente
1;442;6939;1;Saliente
1;71;6950;1;Saliente
1;217;6950;1;Saliente
1;35;6975;1;Saliente
3;92;6993;1;Saliente
1;30;6993;1;Saliente
1;30;6993;1;Saliente
1;203;7027;1;Saliente
1;30;7027;1;Saliente
2;1413;7029;1;Saliente
2;60;7029;1;Saliente
5;1589;7029;1;Saliente
3;1414;7029;1;Saliente
3;416;7029;1;Saliente
2;1223;7029;1;Saliente
3;714;7045;1;Saliente
1;30;7049;1;Saliente
1;30;7049;1;Saliente
18;788;7078;1;Saliente
5;779;7078;1;Saliente
1;48;7078;1;Saliente
2;135;7078;1;Saliente
3;303;7078;1;Saliente
6;293;7078;1;Saliente
1;30;7087;1;Saliente
1;30;7101;1;Saliente
1;30;7101;1;Saliente
1;30;7137;1;Saliente
2;95;7154;1;Saliente
1;30;7154;1;Saliente
2;65;7154;1;Saliente
18;1019;7161;1;Saliente
1;142;7161;1;Saliente
1;30;7161;1;Saliente
1;98;7161;1;Saliente
1;30;7176;1;Saliente
7;2882;7212;1;Saliente
2;2117;7212;1;Saliente
1;30;7232;1;Saliente
1;38;7232;1;Saliente
4;592;7232;1;Saliente
2;103;7256;1;Saliente
1;30;7260;1;Saliente
1;62;7260;1;Saliente
3;90;7260;1;Saliente
1;30;7284;1;Saliente
1;55;7287;1;Saliente
1;56;7287;1;Saliente
2;127;7292;1;Saliente
3;121;7292;1;Saliente
1;30;7292;1;Saliente
3;193;7317;1;Saliente
1;30;7325;1;Saliente
10;337;7337;1;Saliente
1;839;7337;1;Saliente
1;123;7366;1;Saliente
1;1200;7366;1;Saliente
4;330;7390;1;Saliente
1;32;7393;1;Saliente
1;47;7393;1;Saliente
2;60;7419;1;Saliente
1;30;7419;1;Saliente
3;90;7419;1;Saliente
4;256;7419;1;Saliente
1;31;7431;1;Saliente
9;540;7432;1;Saliente
12;736;7432;1;Saliente
7;570;7432;1;Saliente
18;1484;7432;1;Saliente
1;131;7432;1;Saliente
3;819;7432;1;Saliente
8;943;7432;1;Saliente
4;691;7438;1;Saliente
1;57;7458;1;Saliente
3;281;7474;1;Saliente
1;82;7477;1;Saliente
1;30;7500;1;Saliente
1;44;7500;1;Saliente
1;30;7528;1;Saliente
2;60;7549;1;Saliente
1;30;7549;1;Saliente
1;40;7549;1;Saliente
2;60;7549;1;Saliente
1;30;7560;1;Saliente
1;30;7564;1;Saliente
2;60;7565;1;Saliente
1;54;7580;1;Saliente
8;281;7581;1;Saliente
1;57;7585;1;Saliente
3;90;7585;1;Saliente
1;30;7587;1;Saliente
3;95;7588;1;Saliente
1;30;7588;1;Saliente
1;30;7588;1;Saliente
1;1233;7591;1;Saliente
12;360;7592;1;Saliente
1;30;7595;1;Saliente
1;30;7595;1;Saliente
6;280;7595;1;Saliente
2;61;7595;1;Saliente
1;30;7608;1;Saliente
4;131;7617;1;Saliente
1;87;7617;1;Saliente
3;164;7626;1;Saliente
1;30;7626;1;Saliente
10;383;7635;1;Saliente
1;187;7635;1;Saliente
7;2428;7714;1;Saliente
7;1375;7749;1;Saliente
2;97;7749;1;Saliente
1;928;7749;1;Saliente
1;963;7754;1;Saliente
2;60;7761;1;Saliente
1;47;7764;1;Saliente
1;47;7764;1;Saliente
1;110;7772;1;Saliente
3;887;7801;1;Saliente
1;930;7801;1;Saliente
2;60;7802;1;Saliente
1;30;7815;1;Saliente
1;276;7820;1;Saliente
1;48;7835;1;Saliente
1;30;7835;1;Saliente
4;120;7861;1;Saliente
1;325;7863;1;Saliente
1;66;7898;1;Saliente
1;30;7930;1;Saliente
3;96;7930;1;Saliente
1;30;7943;1;Saliente
2;268;7961;1;Saliente
1;194;7997;1;Saliente
2;65;8007;1;Saliente
4;128;8010;1;Saliente
1;33;8010;1;Saliente
6;707;8010;1;Saliente
4;280;8010;1;Saliente
2;71;8010;1;Saliente
1;419;8010;1;Saliente
3;117;8020;1;Saliente
1;38;8020;1;Saliente
1;30;8022;1;Saliente
1;116;8022;1;Saliente
4;336;8022;1;Saliente
1;30;8026;1;Saliente
1;172;8028;1;Saliente
1;30;8041;1;Saliente
1;120;8041;1;Saliente
1;276;8063;1;Saliente
1;285;8110;1;Saliente
2;103;8113;1;Saliente
3;90;8143;1;Saliente
2;90;8143;1;Saliente
2;1344;8144;1;Saliente
3;110;8147;1;Saliente
1;267;8147;1;Saliente
1;37;8148;1;Saliente
3;122;8148;1;Saliente
1;36;8148;1;Saliente
8;578;8148;1;Saliente
2;60;8148;1;Saliente
1;58;8149;1;Saliente
1;30;8180;1;Saliente
1;30;8194;1;Saliente
2;128;8196;1;Saliente
4;120;8212;1;Saliente
3;282;8213;1;Saliente
1;98;8219;1;Saliente
2;325;8220;1;Saliente
11;491;8259;1;Saliente
3;95;8273;1;Saliente
1;30;8273;1;Saliente
1;245;8275;1;Saliente
1;469;8275;1;Saliente
1;37;8284;1;Saliente
1;30;8288;1;Saliente
1;60;8288;1;Saliente
1;30;8347;1;Saliente
1;30;8347;1;Saliente
1;139;8363;1;Saliente
1;30;8376;1;Saliente
2;60;8376;1;Saliente
2;60;8376;1;Saliente
1;526;8377;1;Saliente
2;87;8389;1;Saliente
2;64;8391;1;Saliente
2;86;8407;1;Saliente
3;96;8416;1;Saliente
9;309;8416;1;Saliente
1;193;8418;1;Saliente
2;62;8418;1;Saliente
1;32;8418;1;Saliente
3;102;8420;1;Saliente
1;30;8421;1;Saliente
1;77;8421;1;Saliente
3;231;8423;1;Saliente
20;1681;8423;1;Saliente
2;60;8423;1;Saliente
3;90;8436;1;Saliente
4;186;8436;1;Saliente
3;187;8436;1;Saliente
22;1880;8448;1;Saliente
1;127;8448;1;Saliente
1;30;8466;1;Saliente
1;69;8481;1;Saliente
1;30;8499;1;Saliente
1;35;8499;1;Saliente
1;37;8501;1;Saliente
1;116;8540;1;Saliente
1;30;8557;1;Saliente
4;255;8566;1;Saliente
1;484;8566;1;Saliente
1;30;8566;1;Saliente
8;730;8566;1;Saliente
1;30;8574;1;Saliente
2;263;8574;1;Saliente
4;372;8587;1;Saliente
3;132;8617;1;Saliente
9;1037;8617;1;Saliente
1;72;8617;1;Saliente
4;428;8617;1;Saliente
2;108;8617;1;Saliente
11;782;8617;1;Saliente
3;173;8617;1;Saliente
4;308;8621;1;Saliente
11;427;8621;1;Saliente
3;105;8629;1;Saliente
1;31;8653;1;Saliente
1;30;8654;1;Saliente
1;30;8654;1;Saliente
1;132;8659;1;Saliente
1;450;8668;1;Saliente
2;66;8688;1;Saliente
7;220;8696;1;Saliente
4;124;8696;1;Saliente
1;30;8696;1;Saliente
7;280;8696;1;Saliente
1;30;8732;1;Saliente
1;54;8749;1;Saliente
1;30;8752;1;Saliente
3;90;8752;1;Saliente
1;30;8753;1;Saliente
1;30;8757;1;Saliente
1;30;8758;1;Saliente
1;30;8787;1;Saliente
2;60;8798;1;Saliente
1;30;8811;1;Saliente
6;180;8827;1;Saliente
2;60;8830;1;Saliente
4;204;8838;1;Saliente
10;986;8838;1;Saliente
1;30;8840;1;Saliente
1;48;8841;1;Saliente
1;60;8845;1;Saliente
1;44;8845;1;Saliente
1;30;8850;1;Saliente
1;30;8854;1;Saliente
1;30;8856;1;Saliente
2;60;8856;1;Saliente
1;168;8860;1;Saliente
1;240;8863;1;Saliente
4;617;8883;1;Saliente
1;30;8883;1;Saliente
1;31;8883;1;Saliente
4;375;8883;1;Saliente
1;844;8886;1;Saliente
2;60;8890;1;Saliente
1;35;8902;1;Saliente
1;30;8902;1;Saliente
1;102;8902;1;Saliente
2;157;8902;1;Saliente
1;30;8903;1;Saliente
1;30;8903;1;Saliente
1;30;8903;1;Saliente
1;435;8903;1;Saliente
9;2003;8903;1;Saliente
1;30;8903;1;Saliente
6;401;8915;1;Saliente
4;228;8915;1;Saliente
4;120;8918;1;Saliente
1;30;8918;1;Saliente
1;30;8922;1;Saliente
3;202;8935;1;Saliente
1;970;8938;1;Saliente
1;61;8971;1;Saliente
1;120;8996;1;Saliente
1;30;8999;1;Saliente
1;319;9000;1;Saliente
1;439;9000;1;Saliente
2;133;9003;1;Saliente
2;94;9046;1;Saliente
1;104;9048;1;Saliente
2;218;9048;1;Saliente
3;90;9048;1;Saliente
1;84;9059;1;Saliente
2;155;9065;1;Saliente
1;30;9065;1;Saliente
3;123;9065;1;Saliente
1;30;9065;1;Saliente
14;466;9066;1;Saliente
1;30;9068;1;Saliente
1;30;9068;1;Saliente
1;150;9068;1;Saliente
1;36;9070;1;Saliente
5;204;9077;1;Saliente
5;157;9094;1;Saliente
1;232;9103;1;Saliente
1;30;9110;1;Saliente
19;1731;9110;1;Saliente
3;249;9110;1;Saliente
3;286;9118;1;Saliente
1;30;9122;1;Saliente
1;30;9122;1;Saliente
2;95;9122;1;Saliente
2;186;9136;1;Saliente
1;30;9136;1;Saliente
1;30;9136;1;Saliente
1;115;9136;1;Saliente
1;30;9167;1;Saliente
1;75;9167;1;Saliente
1;30;9171;1;Saliente
2;60;9222;1;Saliente
1;108;9222;1;Saliente
1;88;9229;1;Saliente
1;49;9229;1;Saliente
12;932;9229;1;Saliente
4;128;9229;1;Saliente
1;30;9244;1;Saliente
1;30;9244;1;Saliente
3;119;9244;1;Saliente
1;30;9244;1;Saliente
2;91;9245;1;Saliente
1;97;9245;1;Saliente
20;631;9274;1;Saliente
1;186;9277;1;Saliente
1;102;9296;1;Saliente
2;330;9313;1;Saliente
2;367;9313;1;Saliente
1;30;9321;1;Saliente
1;280;9321;1;Saliente
1;154;9321;1;Saliente
2;60;9321;1;Saliente
2;219;9321;1;Saliente
1;383;9321;1;Saliente
3;122;9342;1;Saliente
1;30;9344;1;Saliente
1;86;9344;1;Saliente
1;37;9344;1;Saliente
1;45;9346;1;Saliente
1;30;9346;1;Saliente
6;305;9354;1;Saliente
1;30;9377;1;Saliente
2;468;9379;1;Saliente
6;735;9379;1;Saliente
1;411;9380;1;Saliente
5;265;9380;1;Saliente
1;54;9381;1;Saliente
1;30;9396;1;Saliente
5;237;9399;1;Saliente
1;30;9399;1;Saliente
1;65;9406;1;Saliente
1;157;9418;1;Saliente
5;877;9425;1;Saliente
1;91;9425;1;Saliente
1;30;9452;1;Saliente
2;73;9464;1;Saliente
2;749;9503;1;Saliente
1;987;9503;1;Saliente
7;235;9525;1;Saliente
4;176;9525;1;Saliente
1;30;9525;1;Saliente
1;30;9525;1;Saliente
1;34;9525;1;Saliente
7;465;9527;1;Saliente
2;240;9549;1;Saliente
3;90;9549;1;Saliente
1;30;9557;1;Saliente
1;696;9585;1;Saliente
3;165;9585;1;Saliente
1;30;9585;1;Saliente
1;1077;9585;1;Saliente
5;215;9587;1;Saliente
1;44;9587;1;Saliente
1;784;9610;1;Saliente
3;138;9615;1;Saliente
4;240;9617;1;Saliente
1;49;9617;1;Saliente
1;215;9620;1;Saliente
1;35;9621;1;Saliente
9;481;9621;1;Saliente
7;210;9621;1;Saliente
1;41;9631;1;Saliente
1;67;9631;1;Saliente
4;200;9658;1;Saliente
1;42;9658;1;Saliente
2;60;9695;1;Saliente
1;30;9695;1;Saliente
1;180;9701;1;Saliente
1;285;9702;1;Saliente
1;121;9705;1;Saliente
2;60;9712;1;Saliente
1;95;9712;1;Saliente
2;173;9712;1;Saliente
2;450;9712;1;Saliente
1;30;9718;1;Saliente
1;38;9732;1;Saliente
1;130;9749;1;Saliente
1;30;9756;1;Saliente
1;285;9760;1;Saliente
1;30;9763;1;Saliente
1;84;9780;1;Saliente
13;1030;9802;1;Saliente
1;42;9802;1;Saliente
1;90;9810;1;Saliente
1;30;9820;1;Saliente
36;14411;9869;1;Saliente
1;187;9874;1;Saliente
